ime,wav,Int
a2D2,3720.174,0.102651351174556
a2D2,3779.576,0.378667664045415
a2D2,3798.597,0.191184311036592
a2D2,3833.013,0.0902481500356088
a2D2,3896.103,0.191237331784476
a2D2,4075.954,1.0
a2D2,4119.524,0.0293263035856232
a2D2,4124.787,0.15227352898307
a2D2,4177.692,0.428705891482186
a2D2,4183.2,0.0290465665641054
a2D2,4258.34,0.161488188822859
a4G,5197.577,0.6222676356948
a4G,5234.625,0.697586082230657
a4G,5254.929,0.0464571702094092
a4G,5264.812,0.0845821317329253
a4G,5276.002,0.931481459240125
a4G,5316.615,1.0
a4G,5316.784,0.0970890989837722
a4G,5325.553,0.0753453438954947
a4G,5337.732,0.0382085799407576
a4G,5362.869,0.377660322441093
a4G,5414.073,0.0411857576664193
a4G,5425.257,0.0768178589774514
a4G,5932.055,0.0011923470457889
a4G,5991.376,0.0224602637350248
a4G,6084.111,0.0118256804034723
a4G,6113.322,0.0051339388795077
a4G,6116.057,0.0014884024440448
a4G,6129.703,0.0016738164246278
a4G,6150.098,0.0012964856884857
a4H,4278.159,0.448482722151923
a4H,4314.31,1.0
a4H,4332.881,0.0548887155976696
a4H,4338.703,0.233184897769528
a4H,4372.222,0.125264822132246
a4H,4384.319,0.974084134761932
a4H,4413.601,0.407355685993273
a4H,4825.736,0.0474555851034839
a4H,4833.197,0.0517690947254964
a4H,4839.998,0.0384166402968725
a6S,4593.827,0.0003510462870702
a6S,4601.378,0.0010977661470329
a6S,4656.981,0.0069019009832047
a6S,4663.708,0.0044585239993465
a6S,4731.453,0.0353700207911316
a6S,4923.927,0.809922333655896
a6S,5018.44,1.16980896258455
a6S,5169.033,1.0
a6S,5256.938,0.0016374925297253
a6S,5284.109,0.0219850030024332
a6S,6369.462,0.0014746091733911
a6S,6432.68,0.0051340332014925
a6S,6516.08,0.009205641838762
b2H,5432.967,0.167040523092599
b2H,5525.125,0.0810884723292422
b2H,5534.847,1.0
b2H,5591.368,0.0145145508174638
b2H,6269.967,0.0160287072183434
b4D,6147.741,0.238037809061446
b4D,6149.258,0.236235064724525
b4D,6238.392,0.290613095044604
b4D,6239.953,0.0450830879349907
b4D,6247.557,0.578672010570595
b4D,6407.251,0.0243209274003447
b4D,6416.919,0.220321593717022
b4D,6456.383,1.0
b4D,7181.232,0.011434830092897
b4D,7222.394,0.0554582664234037
b4D,7224.487,0.062459291455823
b4D,7289.045,0.0219227115443624
b4D,7301.56,0.0032709874845263
b4D,7308.073,0.10392683923134
b4D,7310.216,0.0472421140486294
b4D,7320.654,0.0652328340339745
b4D,7352.699,0.0012722046115581
b4D,7449.335,0.0521150811779208
b4D,7462.407,0.194406332063736
b4D,7479.693,0.0271387925742952
b4D,7515.831,0.0381405296665678
b4D,7533.367,0.0104831647330938
b4D,7655.488,0.0288111538935894
b4D,7711.723,0.287066639223895
b4D,7841.388,0.018692245726865
b4F,4088.755,0.0013300587361097
b4F,4138.405,0.002996222805867
b4F,4472.929,0.0357588327715555
b4F,4489.183,0.108825242601506
b4F,4491.405,0.242491054727117
b4F,4508.288,0.365763429421355
b4F,4515.339,0.346680044314808
b4F,4520.224,0.23274790807381
b4F,4522.634,0.855812930361016
b4F,4534.168,0.0292210345545823
b4F,4541.524,0.0774746766282266
b4F,4549.474,1.0
b4F,4555.893,0.472833724560507
b4F,4576.34,0.13486926025162
b4F,4582.835,0.0696815154286671
b4F,4583.837,1.34362791003769
b4F,4595.682,0.0049027262151761
b4F,4620.521,0.0075797433892325
b4F,4629.339,0.457759501590011
b4F,4648.235,0.0012554443411884
b4F,4666.758,0.0548970352946927
b4F,4833.865,0.0009731014800126
b4F,4893.82,0.0032370102841647
b4F,4924.921,0.0015951970465923
b4F,4993.358,0.0304374074531359
b4F,5036.92,0.0027471346932943
b4F,5100.664,0.0039703345397572
b4F,5120.352,0.0055417488867338
b4F,5132.669,0.0061418288172566
b4F,5136.802,0.0028797343051419
b4F,5146.127,0.0110561705512142
b4F,5150.941,0.0031001046565869
b4F,5154.409,0.0065015412840142
b4F,5161.184,0.002885613969403
b4F,5171.64,0.0039408435381648
b4F,6229.349,0.0012460334793745
b4F,6239.366,0.0024644678478862
b4P,3764.105,0.0520297231900193
b4P,3824.929,0.0236421444871517
b4P,3872.766,0.0257291734041015
b4P,3908.545,0.0008436785067931
b4P,3964.579,0.0058877048050056
b4P,3974.167,0.0167427788503345
b4P,4002.083,0.0168413023953368
b4P,4087.284,0.0020283602688536
b4P,4122.668,0.0319174589092672
b4P,4128.748,0.0167604072122739
b4P,4173.461,0.0044513178745424
b4P,4178.862,0.231089007655489
b4P,4233.172,1.0
b4P,4258.154,0.0185665148461173
b4P,4273.326,0.0281421257048653
b4P,4296.572,0.0661034182126903
b4P,4303.176,0.138187295021301
b4P,4351.769,0.0467706346367784
b4P,4369.411,0.013649676417308
b4P,4385.387,0.13663938095345
b4P,4386.585,0.0007401676151126
b4P,4416.83,0.130758981683634
b4P,4461.439,0.0050369122097517
b4P,4580.063,0.0123975742668973
b4P,4583.999,0.0034750041386597
b4P,4648.944,0.0026915014112626
b4P,4665.805,0.0006916615442264
b4P,4670.182,0.0056126450483951
b4P,4713.193,0.0006145860588333
b4P,4855.548,0.003077399800316
b4P,4871.277,0.0050136931606996
b4P,4991.126,0.0022641364243428
b4P,5000.743,0.0009547555061697
e4D,7427.522,0.0216550065884321
e4D,7789.263,0.052304645000322
e6D,7894.577,0.0270935404043411
e6D,7969.022,0.0494401868893672
e6D,7970.423,0.112715986404015
e6D,7974.678,0.0131884905547376
e6D,7981.898,0.20928753520595
z4D,6248.898,0.198416647835323
z4D,6317.983,1.0
z4D,6383.722,0.495119191614172
z4D,6385.451,0.222657000600639
z4D,6455.837,0.10307529299974
z4D,6491.246,0.142207749184236
z4D,6493.035,0.23382755284353
z4D,6517.018,0.154030453954367
z4D,6562.2,0.117214029053423
z4D,6586.699,0.145119958077655
z4D,7711.435,0.0502444381296935
z4D,7866.548,0.036058164725634
z4D,7917.796,0.0101992350528938
z4D,7975.904,0.0113936963318168
z4F,6233.534,0.133413933510255
z4F,6371.125,0.029155040246519
z4F,6442.955,0.136778546583612
z4F,6506.333,0.0769858036876313
z4F,6508.129,0.01297890036313
z4F,6581.261,0.0069722577258416
z4F,6596.454,0.0064039481838367
z4F,6598.301,0.0317930655384381
z4F,6623.07,0.0108375331722329
z4P,7417.548,0.0762284798099948
z4P,7515.091,1.0
z4P,7657.502,0.576169922833434
z4P,7659.991,0.164602386405503
z4P,7693.392,0.0173905789799922
z4P,7801.235,0.232670124031584
z4P,7835.883,0.174356493739339
y4G,4418.957,0.374311972672879
y4G,4431.605,0.445020414826515
y4G,4440.766,0.0884543902895803
y4G,4449.616,0.679994134954603
y4G,4467.931,0.122808504353603
y4G,4477.242,0.0014305826295535
y4G,4493.529,1.0
y4G,4508.214,0.124675832104262
y4G,4527.016,0.0027187682486413
b4G,5427.826,1.0
b4G,5440.068,0.0698217058622299
b4G,5442.905,0.0014633238484192
b4G,5529.932,0.607400597109448
b4G,5530.543,0.0018976116280879
b4G,5532.864,0.0754634854449002
b4G,5565.492,0.0696898345786282
b4G,5587.114,0.296027878513293
x4D,4559.554,0.152653830741127
x4D,4591.004,0.308047891080121
x4D,4605.37,0.316803281782939
x4D,4625.481,0.44577818321659
x4D,4628.786,1.0
x4D,4631.873,0.711548566015749
x4D,4652.216,0.351075113285649
x4D,4668.923,0.171154242844297
x4D,4670.334,0.300195095541032
y4P,5055.319,0.405655959844457
y4P,5131.21,1.0
y4P,5177.027,0.0291492220376496
y4P,5222.473,0.0226859729960918
y4P,5251.432,0.0362814675768805
y4P,5258.026,0.208171104097939
y4P,5304.912,0.311429776873016
y4P,5388.544,0.0828246940959621
